"Date.Collected","Plot","Sex","Weight","Species","Device.calibrated"
"1","07/16/13",2,"F","","DM","Y"
"2","07/16/13",7,"M","33","DM","Y"
"3","07/16/13",3,"M","","DM","Y"
"4","07/16/13",1,"M","","DM","Y"
"5","07/18/13",3,"M","40g","DM","Y"
"6","07/18/13",7,"M","48g","DM","Y"
"7","07/18/13",4,"F","29","DM","Y"
"8","07/18/13",4,"F","46","DM","Y"
"9","07/18/13",7,"M","36","DM","Y"
"10","07/18/13",7,"F","35","DM","Y"
"11","07/18/13",8,"F","22g","DM","Y"
"12","07/18/13",7,"F","42g","DM","Y"
"13","07/18/13",4,"F","41g","DM","Y"
"14","07/18/13",6,"F","37g","DM","Y"
"15","08/19/13",8,"F","52","DO","Y"
"16","10/17/13",3,"F","33","DO","Y"
"17","10/17/13",3,"F","50","DO","Y"
"18","10/17/13",17,"F","48","DO","Y"
"19","10/17/13",17,"F","31","DO","Y"
"20","10/18/13",8,"F","41","DO","Y"
"21","11/12/13",1,"F","44","DO","Y"
"22","11/12/13",1,"M","48","DO","Y"
"23","11/14/13",8,"F","39","DO","Y"
"24","12/10/13",9,"F","40","DO","Y"
"25","12/10/13",1,"M","45","DO","Y"
"26","12/11/13",8,"F","41","DO","Y"
"27","11/12/13",9,"F","117","DS","Y"
"28","11/12/13",1,"F","121","DS","Y"
"29","11/12/13",20,"M","115","DS","Y"
"30","11/12/13",9,"F","120","DS","Y"
"31","11/13/13",17,"F","118","DS","Y"
"32","11/13/13",11,"F","126","DS","Y"
"33","11/13/13",17,"M","132","DS","N"
"34","11/13/13",14,"F","113","DS","N"
"35","11/13/13",11,"F","122","DS","Y"
"36","11/13/13",4,"F","107","DS","Y"
"37","11/13/13",4,"F","115","DS","Y"
"38","01/09/14",1,"M","40","DM","Y"
"39","01/09/14",1,"F","36","DM","Y"
"40","01/09/14",1,"F","135","DS","Y"
"41","01/20/14",1,"F","39","DM","Y"
"42","01/20/14",1,"M","43","DM","Y"
"43","01/20/14",1,"F","144","DS","Y"
"44","03/13/14",1,"F","51","DM","Y"
"45","03/13/14",1,"F","44","DM","Y"
"46","03/13/14",1,"F","146","DS","Y"
"47","01/08/14",2,"","","N/A","Y"
"48","01/08/14",2,"M","44","DM","Y"
"49","01/08/14",2,"M","38","DM","Y"
"50","01/08/14",2,"","","OL","Y"
"51","01/08/14",2,"M","22","PE","Y"
"52","01/08/14",2,"M","38","DM","Y"
"53","01/08/14",2,"M","48","DM","Y"
"54","01/08/14",2,"M","43","DM","Y"
"55","01/08/14",2,"F","35","DM","Y"
"56","01/08/14",2,"M","43","DM","Y"
"57","01/08/14",2,"F","37","DM","Y"
"58","01/08/14",2,"F","7","PF","Y"
"59","01/08/14",2,"M","45","DM","Y"
"60","01/08/14",2,"","","OT","Y"
"61","01/08/14",2,"M","157","DS","N"
"62","01/08/14",2,"","","OX","Y"
"63","02/18/14",2,"M","218","N/A","N"
"64","02/18/14",2,"F","7","PF","Y"
"65","02/18/14",2,"M","52","DM","Y"
"66","01/08/14",3,"M","7","PF","Y"
"67","02/18/15",3,"M","24","OT","Y"
"68","02/18/15",3,"F","23","OT","Y"
"69","03/11/15",3,"M","232","N/A","Y"
"70","03/11/15",3,"F","22","OT","Y"
"71","03/11/15",3,"M","26","OT","Y"
"72","03/11/15",3,"M","8","PF","Y"
"73","04/08/15",3,"F","","N/A","Y"
"74","04/08/15",3,"","","","Y"
"75","05/08/15",3,"F","182","N/A","Y"
"76","05/08/15",3,"F","29","OT","Y"
"77","07/08/15",3,"F","115","N/A","Y"
"78","07/08/15",3,"M","190","N/A","Y"
"79","01/08/78",4,"F","37","DM","Y"
"80","01/08/78",4,"F","128","DS","Y"
"81","01/08/78",4,"F","42","DM","Y"
"82","01/08/78",4,"M","37","DM","Y"
"83","01/08/78",4,"M","","DM","Y"
"84","01/08/78",4,"F","48","DM","Y"
"85","01/08/78",4,"M","45","DM","Y"
"86","01/08/78",4,"F","42","DM","Y"
"87","01/08/78",4,"M","52","DO","Y"
"88","01/08/78",4,"M","35","OL","Y"
