Date Collected;Plot;Sex;Weight;Species;Device calibrated
07/16/13;2;F;;DM;Y
07/16/13;7;M;33;DM;Y
07/16/13;3;M;;DM;Y
07/16/13;1;M;;DM;Y
07/18/13;3;M;40g;DM;Y
07/18/13;7;M;48g;DM;Y
07/18/13;4;F;29;DM;Y
07/18/13;4;F;46;DM;Y
07/18/13;7;M;36;DM;Y
07/18/13;7;F;35;DM;Y
07/18/13;8;F;22g;DM;Y
07/18/13;7;F;42g;DM;Y
07/18/13;4;F;41g;DM;Y
07/18/13;6;F;37g;DM;Y
08/19/13;8;F;52;DO;Y
10/17/13;3;F;33;DO;Y
10/17/13;3;F;50;DO;Y
10/17/13;17;F;48;DO;Y
10/17/13;17;F;31;DO;Y
10/18/13;8;F;41;DO;Y
11/12/13;1;F;44;DO;Y
11/12/13;1;M;48;DO;Y
11/14/13;8;F;39;DO;Y
12/10/13;9;F;40;DO;Y
12/10/13;1;M;45;DO;Y
12/11/13;8;F;41;DO;Y
11/12/13;9;F;117;DS;Y
11/12/13;1;F;121;DS;Y
11/12/13;20;M;115;DS;Y
11/12/13;9;F;120;DS;Y
11/13/13;17;F;118;DS;Y
11/13/13;11;F;126;DS;Y
11/13/13;17;M;132;DS;N
11/13/13;14;F;113;DS;N
11/13/13;11;F;122;DS;Y
11/13/13;4;F;107;DS;Y
11/13/13;4;F;115;DS;Y
01/09/14;1;M;40;DM;Y
01/09/14;1;F;36;DM;Y
01/09/14;1;F;135;DS;Y
01/20/14;1;F;39;DM;Y
01/20/14;1;M;43;DM;Y
01/20/14;1;F;144;DS;Y
03/13/14;1;F;51;DM;Y
03/13/14;1;F;44;DM;Y
03/13/14;1;F;146;DS;Y
01/08/14;2;;;N/A;Y
01/08/14;2;M;44;DM;Y
01/08/14;2;M;38;DM;Y
01/08/14;2;;;OL;Y
01/08/14;2;M;22;PE;Y
01/08/14;2;M;38;DM;Y
01/08/14;2;M;48;DM;Y
01/08/14;2;M;43;DM;Y
01/08/14;2;F;35;DM;Y
01/08/14;2;M;43;DM;Y
01/08/14;2;F;37;DM;Y
01/08/14;2;F;7;PF;Y
01/08/14;2;M;45;DM;Y
01/08/14;2;;;OT;Y
01/08/14;2;M;157;DS;N
01/08/14;2;;;OX;Y
02/18/14;2;M;218;N/A;N
02/18/14;2;F;7;PF;Y
02/18/14;2;M;52;DM;Y
01/08/14;3;M;7;PF;Y
02/18/15;3;M;24;OT;Y
02/18/15;3;F;23;OT;Y
03/11/15;3;M;232;N/A;Y
03/11/15;3;F;22;OT;Y
03/11/15;3;M;26;OT;Y
03/11/15;3;M;8;PF;Y
04/08/15;3;F;;N/A;Y
04/08/15;3;;;;Y
05/08/15;3;F;182;N/A;Y
05/08/15;3;F;29;OT;Y
07/08/15;3;F;115;N/A;Y
07/08/15;3;M;190;N/A;Y
01/08/78;4;F;37;DM;Y
01/08/78;4;F;128;DS;Y
01/08/78;4;F;42;DM;Y
01/08/78;4;M;37;DM;Y
01/08/78;4;M;;DM;Y
01/08/78;4;F;48;DM;Y
01/08/78;4;M;45;DM;Y
01/08/78;4;F;42;DM;Y
01/08/78;4;M;52;DO;Y
01/08/78;4;M;35;OL;Y
